,utc_time,generation solar,forecast solar day ahead,month,utc_time_day_fraction,day_of_year,date_fraction_of_year,day_of_week,is_weekend,day_hour_sin,day_hour_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,month_sin,month_cos,season,is_holiday,is_peak,generation solar_roll3h,generation solar_roll6h,generation solar_lag1h,generation solar_lag2h,generation solar_lag3h,generation solar_lag24h,Solar_capacity,n_cities,weight_sum_check,GHI_weighted,Clear sky GHI_weighted,Cloud optical depth_weighted,Cloud coverage_weighted,Snow probability_weighted,ghi_clear_ratio_weighted,GHI_x_cloud_coverage,GHI_x_optical_depth,GHI_weighted_roll3h,GHI_weighted_roll6h,GHI_weighted_lag1h,GHI_weighted_lag2h,GHI_weighted_lag3h,GHI_weighted_lag24h,Clear sky GHI_weighted_roll3h,Clear sky GHI_weighted_roll6h,Clear sky GHI_weighted_lag1h,Clear sky GHI_weighted_lag2h,Clear sky GHI_weighted_lag3h,Clear sky GHI_weighted_lag24h,Cloud optical depth_weighted_roll3h,Cloud optical depth_weighted_roll6h,Cloud optical depth_weighted_lag1h,Cloud optical depth_weighted_lag2h,Cloud optical depth_weighted_lag3h,Cloud optical depth_weighted_lag24h,Cloud coverage_weighted_roll3h,Cloud coverage_weighted_roll6h,Cloud coverage_weighted_lag1h,Cloud coverage_weighted_lag2h,Cloud coverage_weighted_lag3h,Cloud coverage_weighted_lag24h,Snow probability_weighted_roll3h,Snow probability_weighted_roll6h,Snow probability_weighted_lag1h,Snow probability_weighted_lag2h,Snow probability_weighted_lag3h,Snow probability_weighted_lag24h,ghi_clear_ratio_weighted_roll3h,ghi_clear_ratio_weighted_roll6h,ghi_clear_ratio_weighted_lag1h,ghi_clear_ratio_weighted_lag2h,ghi_clear_ratio_weighted_lag3h,ghi_clear_ratio_weighted_lag24h,GHI_x_cloud_coverage_roll3h,GHI_x_cloud_coverage_roll6h,GHI_x_cloud_coverage_lag1h,GHI_x_cloud_coverage_lag2h,GHI_x_cloud_coverage_lag3h,GHI_x_cloud_coverage_lag24h,GHI_x_optical_depth_roll3h,GHI_x_optical_depth_roll6h,GHI_x_optical_depth_lag1h,GHI_x_optical_depth_lag2h,GHI_x_optical_depth_lag3h,GHI_x_optical_depth_lag24h,Clear sky GHI,GHI,Cloud optical depth,Cloud coverage,Snow probability,Cloud type,daytime_frac,sol_elev,daylight_length_hr,daytime_any,GHI_roll3h,GHI_roll6h,GHI_lag1h,GHI_lag2h,GHI_lag3h,GHI_lag24h,Cloud optical depth_roll3h,Cloud optical depth_roll6h,Cloud optical depth_lag1h,Cloud optical depth_lag2h,Cloud optical depth_lag3h,Cloud optical depth_lag24h,Cloud coverage_roll3h,Cloud coverage_roll6h,Cloud coverage_lag1h,Cloud coverage_lag2h,Cloud coverage_lag3h,Cloud coverage_lag24h,Snow probability_roll3h,Snow probability_roll6h,Snow probability_lag1h,Snow probability_lag2h,Snow probability_lag3h,Snow probability_lag24h,Cloud type_roll3h,Cloud type_roll6h,Cloud type_lag1h,Cloud type_lag2h,Cloud type_lag3h,Cloud type_lag24h
count,35064,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0
mean,2016-12-31 10:30:00,1433.1247560800646,1439.0667351129364,6.522929500342231,0.4791666666666667,183.1252566735113,0.5013696281273411,3.0021104266484144,0.2861054072553046,-1.1753216596533712e-17,-6.010858401632436e-17,-0.0011746320316967816,-0.0003093136482892757,4.415141123809018e-06,-5.063629075551475e-08,-0.004784655069655379,-0.002028816985036206,1.5030800821355237,0.023956194387405885,0.2594969199178645,1433.125787527323,1433.1249162633485,1433.1252694270872,1433.12578277411,1433.1262961211323,1432.409948870391,1150.0,9.0,1.0,214.81807770102373,248.24137921142955,2.6839722664302608,13.78787573116818,0.7609341469180992,4.187584961390682,438.0914513634709,51.98052787997664,214.8180777010236,214.8176996878793,214.81807770102373,214.81807770102373,214.8180777010237,214.7321603279469,248.2413792114296,248.24100119832633,248.24137921142955,248.24137921142955,248.24137921142955,248.1549063358678,2.6839722664302608,2.6839722664302625,2.6839722664302617,2.6839722664302608,2.6839722664302608,2.6839615748005454,13.78787573116818,13.787875328178375,13.78787573116818,13.78787573116818,13.78787573116818,13.787633771951576,0.7609341469180995,0.7609341469180992,0.7609341469180992,0.7609341469180992,0.7609341469180992,0.7609341469180991,4.187584961390672,4.187485143907797,4.187584961390682,4.187584961390682,4.187584961390682,4.184861723506087,438.09145136347064,438.0914475628599,438.0914513634709,438.09145136347087,438.0914513634709,438.08401803006313,51.98052787997668,51.98052787997661,51.98052787997663,51.98052787997663,51.98052787997663,51.980025879691276,248.24137921142955,214.81807770102373,2.6839722664302608,13.78787573116818,0.7609341469180992,1.0873161126486721,0.5060735317944496,15.976993794365162,12.188097491295418,0.5461280738822922,214.8180777010236,214.81769968787913,214.81807770102373,214.81807770102373,214.8180777010237,214.7321603279469,2.6839722664302625,2.6839722664302634,2.6839722664302617,2.6839722664302608,2.6839722664302608,2.6839615748005454,13.787875731168183,13.78787532817837,13.78787573116818,13.78787573116818,13.78787573116818,13.787633771951576,0.7609341469180992,0.7609341469180992,0.7609341469180992,0.7609341469180992,0.7609341469180992,0.7609341469180991,1.0873161126486721,1.0873161126486721,1.0873161126486723,1.0873161126486721,1.0873161126486723,1.0872789135890646
min,2014-12-31 23:00:00,0.0,0.0,1.0,0.0,1.0,0.0027378507871321013,0.0,0.0,-1.0,-1.0,-0.9749279121818236,-0.9009688679024191,-0.9999994220246925,-0.9999791929590823,-1.0,-1.0,0.0,0.0,0.0,2.0,2.3333333333333335,0.0,0.0,0.0,0.0,1150.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.500869565217393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2016-01-01 04:45:00,71.0,69.0,4.0,0.23958333333333334,92.0,0.2518822724161533,1.0,0.0,-0.7071067811865472,-0.7071067811865476,-0.7818314824680299,-0.900968867902419,-0.7036774074790128,-0.7074868024503348,-0.8660254037844384,-0.8660254037844387,1.0,0.0,0.0,96.66666666666667,182.16666666666666,71.0,71.0,71.0,70.75,1150.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015162681159491345,0.0,0.0,0.0,0.0,0.0,0.01711467391305177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.415652173913044,0.0,0.0,0.01516268115938363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,2016-12-31 10:30:00,616.0,576.0,7.0,0.47916666666666663,183.0,0.5010266940451745,3.0,0.0,6.123233995736766e-17,-6.123233995736766e-17,0.0,-0.22252093395631434,-0.004300592702981974,0.001075151282798226,-2.4492935982947064e-16,-1.8369701987210297e-16,2.0,0.0,0.0,647.0,790.6666666666666,616.0,616.0,616.0,616.0,1150.0,9.0,1.0,12.185541304347826,14.590089130434782,0.0,0.0,0.0,4.600018131599994,0.0,0.0,45.05579492753619,98.75090797101458,12.185541304347826,12.185541304347826,12.185541304347826,12.02766304347826,55.27837101449295,121.9060391304347,14.590089130434782,14.590089130434782,14.590089130434782,14.235391304347825,0.00528985507246064,0.0873479133593846,0.0,0.0,0.0,0.0,0.32548309178744816,2.3749396135265792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.323862820624363,4.216596284071136,4.600018131599994,4.600018131599994,4.600018131599994,4.589187968878203,1.715162566688746,36.477373363789034,0.0,0.0,0.0,0.0,0.015998445352129614,1.728854298160122,0.0,0.0,0.0,0.0,14.590089130434782,12.185541304347826,0.0,0.0,0.0,0.0,0.5807971014492753,0.5694401294271586,12.209565217391305,1.0,45.05579492753624,98.75090797101441,12.185541304347826,12.185541304347826,12.185541304347826,12.02766304347826,0.005289855072458546,0.08734791335938225,0.0,0.0,0.0,0.0,0.3254830917874382,2.374939613526566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18115942028985507,0.0,0.0,0.0,0.0
75%,2017-12-31 16:15:00,2579.0,2636.0,10.0,0.71875,274.0,0.7501711156741958,5.0,1.0,0.7071067811865475,0.7071067811865475,0.7818314824680297,0.6234898018587336,0.7067265555776158,0.7029130847082616,0.49999999999999994,0.8660254037844384,2.0,0.0,1.0,2497.416666666667,2371.8333333333335,2579.0,2579.0,2579.0,2576.0,1150.0,9.0,1.0,400.33103369565214,497.9942369565217,0.7759510869565217,16.090036231884056,0.0,8.54471483975685,368.1663757585066,20.500317697188095,390.7900565217391,365.86094764492765,400.33103369565214,400.33103369565214,400.33103369565214,400.1941217391304,483.24049202898567,443.8843353260869,497.9942369565217,497.9942369565217,497.9942369565217,497.96119347826084,1.2546902019500543,1.8202902662536433,0.7759510869565217,0.7759510869565217,0.7759510869565217,0.7759510869565217,17.585869565217386,18.789281400966185,16.090036231884056,16.090036231884056,16.090036231884056,16.090036231884056,0.0,0.5163043478260864,0.0,0.0,0.0,0.0,8.19705117762194,7.443323915621819,8.54471483975685,8.54471483975685,8.54471483975685,8.544059712018905,412.48794178875215,500.38860157241106,368.1663757585066,368.1663757585066,368.1663757585066,368.1663757585066,27.777149793714795,39.439870367950405,20.500317697188095,20.500317697188095,20.500317697188095,20.500317697188095,497.9942369565217,400.33103369565214,0.7759510869565217,16.090036231884056,0.0,1.3043478260869565,1.0,29.63112879990785,13.96695652173913,1.0,390.7900565217391,365.8609476449274,400.33103369565214,400.33103369565214,400.33103369565214,400.1941217391304,1.2546902019500692,1.8202902662536442,0.7759510869565217,0.7759510869565217,0.7759510869565217,0.7759510869565217,17.585869565217394,18.78928140096619,16.090036231884056,16.090036231884056,16.090036231884056,16.090036231884056,0.0,0.5163043478260869,0.0,0.0,0.0,0.0,1.5217391304347825,1.5869565217391304,1.3043478260869565,1.3043478260869565,1.3043478260869565,1.3043478260869565
max,2018-12-31 22:00:00,5792.0,5836.0,12.0,0.9583333333333334,366.0,1.002053388090349,6.0,1.0,1.0,1.0,0.9749279121818236,1.0,0.9999855506507186,0.9999907524084426,1.0,1.0,3.0,1.0,1.0,5751.0,5596.166666666667,5792.0,5792.0,5792.0,5792.0,1150.0,9.0,1.0,1045.594195652174,1047.9758086956522,92.60352173913043,100.0,48.119565217391305,9.000018223566716,8280.264175850662,3028.802662869565,1025.2172913043478,958.4248405797102,1045.594195652174,1045.594195652174,1045.594195652174,1045.594195652174,1028.2284681159422,960.4966971014492,1047.9758086956522,1047.9758086956522,1047.9758086956522,1047.9758086956522,81.84715217391305,74.14584057971015,92.60352173913043,92.60352173913043,92.60352173913043,92.60352173913043,100.0,99.87173913043478,100.0,100.0,100.0,100.0,33.18115942028985,27.226449275362317,48.119565217391305,48.119565217391305,48.119565217391305,48.119565217391305,9.000005976123521,9.000003072713632,9.000018223566716,9.000018223566716,9.000018223566716,9.000018223566716,7583.292212438562,6544.40317900126,8280.264175850662,8280.264175850662,8280.264175850662,8280.264175850662,2487.906732422747,1641.886807788374,3028.802662869565,3028.802662869565,3028.802662869565,3028.802662869565,1047.9758086956522,1045.594195652174,92.60352173913043,100.0,48.119565217391305,8.0,1.0,74.52923697128675,14.820869565217391,1.0,1025.2172913043476,958.42484057971,1045.594195652174,1045.594195652174,1045.594195652174,1045.594195652174,81.84715217391305,74.14584057971015,92.60352173913043,92.60352173913043,92.60352173913043,92.60352173913043,100.0,99.87173913043478,100.0,100.0,100.0,100.0,33.18115942028986,27.22644927536232,48.119565217391305,48.119565217391305,48.119565217391305,48.119565217391305,8.0,7.855072463768115,8.0,8.0,8.0,8.0
std,,1680.4415476983907,1677.7033546524967,3.4487523600478474,0.28842855260116623,105.4401462621914,0.2886793874392646,2.000483669579905,0.45194571399436645,0.7071168644900236,0.7071168644900236,0.7068631294350735,0.7073694655978849,0.7071169360842267,0.7071167928820274,0.7057684042024142,0.7084436956662039,1.1146734313439208,0.15291488483171503,0.4383648581291378,1629.3196995871479,1494.268987478106,1680.4411221096134,1680.4406965205708,1680.4402709312642,1680.34002698291,0.0,0.0,0.0,292.50669256874113,323.1848062670654,7.557713569375113,24.81369289070767,2.7270697604773537,3.9947650417242384,919.2066332711224,142.51113271536516,283.4244532600356,257.526691960755,292.50669256874113,292.50669256874113,292.50669256874113,292.51036988075595,312.8757831867811,283.0003004508053,323.1848062670655,323.1848062670655,323.1848062670655,323.19672572599063,7.054074952832012,6.394755122573304,7.557713569375113,7.557713569375114,7.557713569375113,7.55771729173162,23.58651386371599,21.70366809036646,24.813692890707674,24.81369289070767,24.81369289070767,24.81382132879388,2.2586545867575665,1.937657386210548,2.7270697604773537,2.7270697604773537,2.7270697604773537,2.7270697604773537,3.703667810485213,3.3162653266461426,3.9947650417242384,3.994765041724238,3.994765041724239,3.994631632744355,878.2502606295717,796.8904359733922,919.2066332711224,919.2066332711224,919.2066332711224,919.2099419747256,135.10954651782325,122.76206482375794,142.51113271536516,142.51113271536516,142.51113271536516,142.511305936355,323.1848062670654,292.50669256874113,7.557713569375113,24.81369289070767,2.7270697604773537,1.9606082529978663,0.4852480441904631,20.996114515396098,1.8289992423714256,0.4928111817332648,283.4244532600356,257.526691960755,292.50669256874113,292.50669256874113,292.50669256874113,292.51036988075595,7.054074952832012,6.394755122573304,7.557713569375113,7.557713569375114,7.557713569375113,7.55771729173162,23.58651386371599,21.703668090366456,24.813692890707674,24.81369289070767,24.81369289070767,24.81382132879388,2.258654586757566,1.9376573862105475,2.7270697604773537,2.7270697604773537,2.7270697604773537,2.7270697604773537,1.8183816160174355,1.652746228803331,1.9606082529978663,1.9606082529978663,1.9606082529978663,1.960622695974994
