,utc_time,daylight_length_hr,sunrise_day_fraction_utc,sunset_day_fraction_utc,temp,temp_rolling3h,temp_min,temp_min_rolling3h,temp_max,temp_max_rolling3h,pressure,pressure_rolling3h,humidity,humidity_rolling3h,wind_speed,wind_speed_rolling3h,wind_deg,wind_deg_rolling3h,rain_1h,rain_1h_rolling3h,rain_3h,rain_3h_rolling3h,snow_3h,snow_3h_rolling3h,clouds_all,clouds_all_rolling3h,solar_flux_Wm2,solar_flux_Wm2_rolling3h,severity,month,day_of_year,date_fraction_of_year,day_of_week,is_weekend,season,is_holiday,utc_time_day_fraction,day_hour_sin,day_hour_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,month_sin,month_cos,total load actual,total load forecast,wx_clear,wx_clouds,wx_drizzle,wx_dust,wx_fog,wx_haze,wx_mist,wx_rain,wx_smoke,wx_snow,wx_squall,wx_thunderstorm
count,35064,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0,35064.0
mean,2016-12-31 10:30:00,12.194316408560715,0.2512583421863774,0.7593548592097404,289.36821239233535,289.3680347822357,288.1329240185154,288.1327765026371,290.6288523182723,290.6286446428502,1079.9641995682425,1079.9633571941154,64.7008057029034,64.70082536949431,2.529141997446762,2.5291384795098186,172.42055062370602,172.4174445276661,0.06176945329824931,0.06176945329824932,0.0002451530673791645,0.00024515306737916444,0.001286092172501938,0.0012860921725019378,21.683609612349866,21.683609612349866,347.3236063331992,347.3236063331991,0.7911107431380608,6.522929500342231,183.1252566735113,0.5013696281273411,3.0021104266484144,0.2861054072553046,1.5030800821355237,0.023956194387405885,0.4791666666666667,-1.1753216596533712e-17,-6.010858401632436e-17,-0.0011746320316967816,-0.0003093136482892757,4.415141123809018e-06,-5.063629075551475e-08,-0.004784655069655379,-0.002028816985036206,28697.730082853137,28712.129962354553,0.5173632789751553,0.3628599132275298,0.006465136877474583,0.0009393629576320092,0.011838666726855615,0.0012466949468447465,0.011299318321289185,0.07985702602546468,9.981109684962164e-05,0.0015655042945709645,2.947617548528385e-06,0.006462338932785077
min,2014-12-31 23:00:00,9.359682872260983,0.1941000216298224,0.6965487820159502,269.7264669115913,270.6529924201914,268.89369968804607,269.32665650944756,269.7264669115913,270.6529924201914,766.8463262797034,836.2963636577513,17.052243086606317,17.907273980442593,0.0,0.2736725060956772,0.0,11.403327279275873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0027378507871321013,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.9749279121818236,-0.9009688679024191,-0.9999994220246925,-0.9999791929590823,-1.0,-1.0,18041.0,18105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2016-01-01 04:45:00,10.32664955171763,0.2135424080968059,0.719743159191705,283.2482704134534,283.27788050718107,282.2268262807501,282.2484451375092,284.215876940142,284.226983887938,1012.6058820930191,1012.5368504237092,50.87201948822329,51.24742768601324,1.4784516725617216,1.5149859105843724,115.03325729126136,129.4532478577778,0.0,0.0,0.0,0.0,0.0,0.0,4.990418280242948,5.985995032642365,0.0,0.0,0.22155263396359132,4.0,92.0,0.2518822724161533,1.0,0.0,1.0,0.0,0.23958333333333334,-0.7071067811865472,-0.7071067811865476,-0.7818314824680299,-0.900968867902419,-0.7036774074790128,-0.7074868024503348,-0.8660254037844384,-0.8660254037844387,24807.0,24793.75,0.15547513385368522,0.1033552617215993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,2016-12-31 10:30:00,12.21201932822392,0.24939529817653547,0.7610537899217139,288.41948481733004,288.436772339192,287.2525042436471,287.2253315285054,289.61306077912815,289.59035932472136,1016.9487646104105,1016.9340189730352,65.34674579209113,65.2653849370704,2.170395599209633,2.1496735364717336,175.960824376608,173.52189546627557,0.0,0.0,0.0,0.0,0.0,0.0,14.526549878086456,15.052412506508386,33.0002888989721,184.52043935443567,0.5363120831231161,7.0,183.0,0.5010266940451745,3.0,0.0,2.0,0.0,0.47916666666666663,6.123233995736766e-17,-6.123233995736766e-17,0.0,-0.22252093395631434,-0.004300592702981974,0.001075151282798226,-2.4492935982947064e-16,-1.8369701987210297e-16,28902.0,28906.0,0.5875474727126294,0.2942551550453785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,2017-12-31 16:15:00,14.06466122449468,0.2889003060822991,0.7989383725386637,295.22161998809423,295.2255060642852,293.84754768908556,293.8154859781729,296.8057578600068,296.81077791448337,1021.0267893911739,1021.003018081724,79.13876312406111,78.7751984565493,3.2264086898503272,3.1834788629856043,228.25171595594546,215.242687081391,0.015635961639625773,0.03984948993095503,0.0,0.0,0.0,0.0,33.503409183007285,33.43458663437969,778.3415043869172,764.8116203259344,1.0530043546746584,10.0,274.0,0.7501711156741958,5.0,1.0,2.0,0.0,0.71875,0.7071067811865475,0.7071067811865475,0.7818314824680297,0.6234898018587336,0.7067265555776158,0.7029130847082616,0.49999999999999994,0.8660254037844384,32193.25,32263.25,0.8296827556259221,0.6023895832330222,0.0,0.0,0.0,0.0,0.0,0.052119872132085916,0.0,0.0,0.0,0.0
max,2018-12-31 22:00:00,14.968733129411385,0.31163495189900325,0.8187101103108484,310.47998905873413,310.42078947879975,309.15196754375233,308.9130212827085,313.7345637340326,312.96198277559347,244890.38201182318,243203.4698472948,99.99999999999999,99.31340463822745,19.886087171848004,11.315541801258044,344.8800139244318,339.7524872426664,4.405107912851479,3.163355462094652,0.12065750398577889,0.04212472235621962,1.1205772508398473,1.1205772508398473,96.35126353153616,94.62286970298632,875.664864221079,872.6892700871565,4.534459080981517,12.0,366.0,1.002053388090349,6.0,1.0,3.0,1.0,0.9583333333333334,1.0,1.0,0.9749279121818236,1.0,0.9999855506507186,0.9999907524084426,1.0,1.0,41015.0,41390.0,1.0,1.0,0.7263274939043228,0.24213528291329262,0.8296827556259221,0.5875474727126294,0.8445248661463148,1.0,0.11819737224199205,0.7263274939043227,0.1033552617215993,0.8445248661463148
std,,1.9266146333673204,0.03976632330786942,0.04143799454001421,7.916744090495474,7.8687565633378895,7.691644971252792,7.634526934190218,8.234193863802124,8.179033851390836,3259.1000863904587,2656.228469529882,17.48329616317379,17.118540166922113,1.4661929587510718,1.388793738175637,71.42591832959346,58.02745451746636,0.20708721160167168,0.17492920732981374,0.001940999368138363,0.0015448310776375197,0.026766379046845545,0.02603473572931729,20.16734779715606,19.53406838727568,376.0250989601309,360.1883895161668,0.7915308734717356,3.4487523600478474,105.4401462621914,0.2886793874392646,2.000483669579905,0.45194571399436645,1.1146734313439208,0.15291488483171503,0.28842855260116623,0.7071168644900236,0.7071168644900236,0.7068631294350735,0.7073694655978849,0.7071169360842267,0.7071167928820274,0.7057684042024142,0.7084436956662039,4575.5621109758495,4594.100854174024,0.3409032833442446,0.3024732415093618,0.04874876197866324,0.00990581634603529,0.06745147656400503,0.014430665382903229,0.061697890230628764,0.17400876702423912,0.0032567668380197906,0.025732328356959874,0.0005519527001322941,0.047619829057270066
